axis,source,target,distance,basis,rounds,patch,method,prior,alpha,transfer,certified,keep,src_cal_n,test_n,test_errors,test_rate,exceed,sig_exceed
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.85,15000,12790,0,0.0,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.9,15000,13721,13,0.0009474528095619853,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14065,19,0.0013508709562744402,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13270,1,7.535795026375282e-05,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14065,19,0.0013508709562744402,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13226,0,0.0,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14065,19,0.0013508709562744402,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.8,15000,13007,0,0.0,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.8,15000,12505,0,0.0,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.85,15000,13270,1,7.535795026375282e-05,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,0.85,15000,13270,1,7.535795026375282e-05,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13270,1,7.535795026375282e-05,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14011,19,0.0013560773677824566,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.8,15000,12505,0,0.0,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.8,15000,12505,0,0.0,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.85,15000,13164,0,0.0,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,0.9,15000,13773,13,0.0009438756988310463,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,1,0.85,120000,12790,0,0.0,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,1,0.85,120000,12657,0,0.0,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.85,120000,12790,0,0.0,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.85,120000,12657,0,0.0,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.9,120000,13721,13,0.0009474528095619853,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.9,120000,13455,8,0.0005945745076179859,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,120000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,120000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,120000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,120000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,120000,15000,76,0.005066666666666666,0,0
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,120000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.001,threshold,0,,15000,,,,,
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.001,keep_fraction,0,,15000,,,,,
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.3,15000,4631,2,0.0004318721658389117,0,0
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.3,15000,4631,2,0.0004318721658389117,0,0
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.01,threshold,1,0.35,15000,5337,9,0.0016863406408094434,0,0
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,0.35,15000,5337,9,0.0016863406408094434,0,0
