key,distance,patch,basis,rounds,source,decoder,prior,shots,errors,test_shots,test_errors,agree_with_google_cm,seconds
d7_at_q6_7/X/r230,7,q6_7,X,230,google,correlated_matching,si1000,50000,16781,15000,5010,,
d7_at_q6_7/X/r230,7,q6_7,X,230,google,correlated_matching,rl,50000,16465,15000,4934,,
d7_at_q6_7/X/r230,7,q6_7,X,230,google,harmony,si1000,50000,16505,15000,4853,,
d7_at_q6_7/X/r230,7,q6_7,X,230,google,harmony,rl,50000,16159,15000,4813,,
d7_at_q6_7/X/r230,7,q6_7,X,230,google,libra,rl,50000,14579,15000,4406,,
d7_at_q6_7/Z/r250,7,q6_7,Z,250,ours,pymatching,si1000,50000,20809,15000,6213,29898,14.9
d7_at_q6_7/Z/r250,7,q6_7,Z,250,ours,pymatching_correlated,si1000,50000,15749,15000,4727,42128,56.6
d7_at_q6_7/Z/r250,7,q6_7,Z,250,ours,pymatching,rl,50000,20596,15000,6186,30278,17.17
d7_at_q6_7/Z/r250,7,q6_7,Z,250,ours,pymatching_correlated,rl,50000,14957,15000,4476,40151,58.55
d7_at_q6_7/Z/r250,7,q6_7,Z,250,google,correlated_matching,si1000,50000,15319,15000,4594,,
d7_at_q6_7/Z/r250,7,q6_7,Z,250,google,correlated_matching,rl,50000,14130,15000,4252,,
d7_at_q6_7/Z/r250,7,q6_7,Z,250,google,harmony,si1000,50000,14829,15000,4395,,
d7_at_q6_7/Z/r250,7,q6_7,Z,250,google,harmony,rl,50000,14322,15000,4306,,
d7_at_q6_7/Z/r250,7,q6_7,Z,250,google,libra,rl,50000,12505,15000,3806,,
d7_at_q6_7/X/r250,7,q6_7,X,250,ours,pymatching,si1000,50000,21983,15000,6562,28905,15.53
d7_at_q6_7/X/r250,7,q6_7,X,250,ours,pymatching_correlated,si1000,50000,16774,15000,5062,41612,57.26
d7_at_q6_7/X/r250,7,q6_7,X,250,ours,pymatching,rl,50000,21707,15000,6427,29291,17.75
d7_at_q6_7/X/r250,7,q6_7,X,250,ours,pymatching_correlated,rl,50000,16254,15000,4918,38664,59.9
d7_at_q6_7/X/r250,7,q6_7,X,250,google,correlated_matching,si1000,50000,16698,15000,5106,,
d7_at_q6_7/X/r250,7,q6_7,X,250,google,correlated_matching,rl,50000,16044,15000,4818,,
d7_at_q6_7/X/r250,7,q6_7,X,250,google,harmony,si1000,50000,16251,15000,4894,,
d7_at_q6_7/X/r250,7,q6_7,X,250,google,harmony,rl,50000,16149,15000,4795,,
d7_at_q6_7/X/r250,7,q6_7,X,250,google,libra,rl,50000,14215,15000,4286,,
d5_at_q4_7/X/r250,5,q4_7,X,250,ours,pymatching,si1000,50000,23639,15000,7103,27423,5.38
d5_at_q4_7/X/r250,5,q4_7,X,250,ours,pymatching_correlated,si1000,50000,21287,15000,6342,39363,19.04
d5_at_q4_7/X/r250,5,q4_7,X,250,ours,pymatching,rl,50000,23525,15000,7092,27484,5.59
d5_at_q4_7/X/r250,5,q4_7,X,250,ours,pymatching_correlated,rl,50000,20841,15000,6337,35402,19.24
d5_at_q4_7/X/r250,5,q4_7,X,250,google,correlated_matching,si1000,50000,21196,15000,6331,,
d5_at_q4_7/X/r250,5,q4_7,X,250,google,correlated_matching,rl,50000,20689,15000,6175,,
d5_at_q4_7/X/r250,5,q4_7,X,250,google,harmony,si1000,50000,20933,15000,6305,,
d5_at_q4_7/X/r250,5,q4_7,X,250,google,harmony,rl,50000,20502,15000,6048,,
d5_at_q4_7/X/r250,5,q4_7,X,250,google,libra,rl,50000,19454,15000,5800,,
d5_at_q4_7/Z/r250,5,q4_7,Z,250,ours,pymatching,si1000,50000,22834,15000,6819,28491,5.35
d5_at_q4_7/Z/r250,5,q4_7,Z,250,ours,pymatching_correlated,si1000,50000,20232,15000,5992,40337,18.77
d5_at_q4_7/Z/r250,5,q4_7,Z,250,ours,pymatching,rl,50000,22545,15000,6736,28758,5.54
d5_at_q4_7/Z/r250,5,q4_7,Z,250,ours,pymatching_correlated,rl,50000,19425,15000,5793,38306,19.52
d5_at_q4_7/Z/r250,5,q4_7,Z,250,google,correlated_matching,si1000,50000,19911,15000,5917,,
d5_at_q4_7/Z/r250,5,q4_7,Z,250,google,correlated_matching,rl,50000,18955,15000,5644,,
d5_at_q4_7/Z/r250,5,q4_7,Z,250,google,harmony,si1000,50000,19421,15000,5788,,
d5_at_q4_7/Z/r250,5,q4_7,Z,250,google,harmony,rl,50000,18890,15000,5585,,
d5_at_q4_7/Z/r250,5,q4_7,Z,250,google,libra,rl,50000,17749,15000,5225,,
d7_at_q6_7/X/r150,7,q6_7,X,150,ours,pymatching,si1000,50000,18370,15000,5593,32965,9.34
d7_at_q6_7/X/r150,7,q6_7,X,150,ours,pymatching_correlated,si1000,50000,12796,15000,3787,44281,31.19
d7_at_q6_7/X/r150,7,q6_7,X,150,ours,pymatching,rl,50000,18125,15000,5470,33261,9.94
d7_at_q6_7/X/r150,7,q6_7,X,150,ours,pymatching_correlated,rl,50000,12366,15000,3726,41904,31.32
d7_at_q6_7/X/r150,7,q6_7,X,150,google,correlated_matching,si1000,50000,12643,15000,3751,,
d7_at_q6_7/X/r150,7,q6_7,X,150,google,correlated_matching,rl,50000,12150,15000,3604,,
d7_at_q6_7/X/r150,7,q6_7,X,150,google,harmony,si1000,50000,12128,15000,3555,,
d7_at_q6_7/X/r150,7,q6_7,X,150,google,harmony,rl,50000,11975,15000,3615,,
d7_at_q6_7/X/r150,7,q6_7,X,150,google,libra,rl,50000,10348,15000,3071,,
d7_at_q6_7/Z/r150,7,q6_7,Z,150,ours,pymatching,si1000,50000,17614,15000,5306,33308,9.53
d7_at_q6_7/Z/r150,7,q6_7,Z,150,ours,pymatching_correlated,si1000,50000,12363,15000,3728,44289,31.7
d7_at_q6_7/Z/r150,7,q6_7,Z,150,ours,pymatching,rl,50000,17574,15000,5296,33464,10.05
d7_at_q6_7/Z/r150,7,q6_7,Z,150,ours,pymatching_correlated,rl,50000,11715,15000,3527,42753,31.45
d7_at_q6_7/Z/r150,7,q6_7,Z,150,google,correlated_matching,si1000,50000,12126,15000,3661,,
d7_at_q6_7/Z/r150,7,q6_7,Z,150,google,correlated_matching,rl,50000,10874,15000,3309,,
d7_at_q6_7/Z/r150,7,q6_7,Z,150,google,harmony,si1000,50000,11444,15000,3442,,
d7_at_q6_7/Z/r150,7,q6_7,Z,150,google,harmony,rl,50000,10659,15000,3206,,
d7_at_q6_7/Z/r150,7,q6_7,Z,150,google,libra,rl,50000,9457,15000,2866,,
d7_at_q6_7/Z/r170,7,q6_7,Z,170,ours,pymatching,si1000,50000,18398,15000,5429,32621,10.89
d7_at_q6_7/Z/r170,7,q6_7,Z,170,ours,pymatching_correlated,si1000,50000,13107,15000,3940,43810,36.66
d7_at_q6_7/Z/r170,7,q6_7,Z,170,ours,pymatching,rl,50000,18467,15000,5482,32438,11.45
d7_at_q6_7/Z/r170,7,q6_7,Z,170,ours,pymatching_correlated,rl,50000,12706,15000,3851,42167,36.01
d7_at_q6_7/Z/r170,7,q6_7,Z,170,google,correlated_matching,si1000,50000,12807,15000,3806,,
d7_at_q6_7/Z/r170,7,q6_7,Z,170,google,correlated_matching,rl,50000,11795,15000,3553,,
d7_at_q6_7/Z/r170,7,q6_7,Z,170,google,harmony,si1000,50000,12292,15000,3750,,
d7_at_q6_7/Z/r170,7,q6_7,Z,170,google,harmony,rl,50000,11692,15000,3518,,
d7_at_q6_7/Z/r170,7,q6_7,Z,170,google,libra,rl,50000,10179,15000,3096,,
d7_at_q6_7/Z/r130,7,q6_7,Z,130,ours,pymatching,si1000,50000,15676,15000,4717,35280,7.75
d7_at_q6_7/Z/r130,7,q6_7,Z,130,ours,pymatching_correlated,si1000,50000,10419,15000,3119,45457,25.6
d7_at_q6_7/Z/r130,7,q6_7,Z,130,ours,pymatching,rl,50000,15543,15000,4640,35518,8.15
d7_at_q6_7/Z/r130,7,q6_7,Z,130,ours,pymatching_correlated,rl,50000,9948,15000,2971,44141,26.11
d7_at_q6_7/Z/r130,7,q6_7,Z,130,google,correlated_matching,si1000,50000,10098,15000,3021,,
d7_at_q6_7/Z/r130,7,q6_7,Z,130,google,correlated_matching,rl,50000,9295,15000,2755,,
d7_at_q6_7/Z/r130,7,q6_7,Z,130,google,harmony,si1000,50000,9531,15000,2869,,
d7_at_q6_7/Z/r130,7,q6_7,Z,130,google,harmony,rl,50000,8994,15000,2657,,
d7_at_q6_7/Z/r130,7,q6_7,Z,130,google,libra,rl,50000,7887,15000,2359,,
d7_at_q6_7/X/r130,7,q6_7,X,130,ours,pymatching,si1000,50000,17755,15000,5383,33502,8.14
d7_at_q6_7/X/r130,7,q6_7,X,130,ours,pymatching_correlated,si1000,50000,12029,15000,3597,44652,27.01
d7_at_q6_7/X/r130,7,q6_7,X,130,ours,pymatching,rl,50000,17312,15000,5179,33809,8.76
d7_at_q6_7/X/r130,7,q6_7,X,130,ours,pymatching_correlated,rl,50000,11626,15000,3494,42483,27.67
d7_at_q6_7/X/r130,7,q6_7,X,130,google,correlated_matching,si1000,50000,11927,15000,3550,,
d7_at_q6_7/X/r130,7,q6_7,X,130,google,correlated_matching,rl,50000,11381,15000,3412,,
d7_at_q6_7/X/r130,7,q6_7,X,130,google,harmony,si1000,50000,11373,15000,3371,,
d7_at_q6_7/X/r130,7,q6_7,X,130,google,harmony,rl,50000,11052,15000,3344,,
d7_at_q6_7/X/r130,7,q6_7,X,130,google,libra,rl,50000,9690,15000,2874,,
d7_at_q6_7/X/r170,7,q6_7,X,170,ours,pymatching,si1000,50000,20405,15000,6143,30830,11.45
d7_at_q6_7/X/r170,7,q6_7,X,170,ours,pymatching_correlated,si1000,50000,14986,15000,4459,42909,37.68
d7_at_q6_7/X/r170,7,q6_7,X,170,ours,pymatching,rl,50000,20087,15000,6025,31162,11.98
d7_at_q6_7/X/r170,7,q6_7,X,170,ours,pymatching_correlated,rl,50000,14402,15000,4288,40281,37.7
d7_at_q6_7/X/r170,7,q6_7,X,170,google,correlated_matching,si1000,50000,14787,15000,4412,,
d7_at_q6_7/X/r170,7,q6_7,X,170,google,correlated_matching,rl,50000,14411,15000,4286,,
d7_at_q6_7/X/r170,7,q6_7,X,170,google,harmony,si1000,50000,14255,15000,4316,,
d7_at_q6_7/X/r170,7,q6_7,X,170,google,harmony,rl,50000,14154,15000,4250,,
d7_at_q6_7/X/r170,7,q6_7,X,170,google,libra,rl,50000,12595,15000,3804,,
d5_at_q6_5/X/r250,5,q6_5,X,250,ours,pymatching,si1000,50000,24055,15000,7182,26851,5.64
d5_at_q6_5/X/r250,5,q6_5,X,250,ours,pymatching_correlated,si1000,50000,21976,15000,6559,38742,19.38
d5_at_q6_5/X/r250,5,q6_5,X,250,ours,pymatching,rl,50000,23975,15000,7194,27157,5.63
d5_at_q6_5/X/r250,5,q6_5,X,250,ours,pymatching_correlated,rl,50000,21570,15000,6448,33438,19.33
d5_at_q6_5/X/r250,5,q6_5,X,250,google,correlated_matching,si1000,50000,21824,15000,6498,,
d5_at_q6_5/X/r250,5,q6_5,X,250,google,correlated_matching,rl,50000,21260,15000,6372,,
d5_at_q6_5/X/r250,5,q6_5,X,250,google,harmony,si1000,50000,21459,15000,6444,,
d5_at_q6_5/X/r250,5,q6_5,X,250,google,harmony,rl,50000,21189,15000,6376,,
d5_at_q6_5/X/r250,5,q6_5,X,250,google,libra,rl,50000,20336,15000,6145,,
d5_at_q6_5/Z/r250,5,q6_5,Z,250,ours,pymatching,si1000,50000,22801,15000,6790,28537,5.55
d5_at_q6_5/Z/r250,5,q6_5,Z,250,ours,pymatching_correlated,si1000,50000,19868,15000,5877,40062,19.01
d5_at_q6_5/Z/r250,5,q6_5,Z,250,ours,pymatching,rl,50000,22793,15000,6799,28673,5.66
d5_at_q6_5/Z/r250,5,q6_5,Z,250,ours,pymatching_correlated,rl,50000,19686,15000,5838,37716,18.88
d5_at_q6_5/Z/r250,5,q6_5,Z,250,google,correlated_matching,si1000,50000,19980,15000,5890,,
d5_at_q6_5/Z/r250,5,q6_5,Z,250,google,correlated_matching,rl,50000,18766,15000,5610,,
d5_at_q6_5/Z/r250,5,q6_5,Z,250,google,harmony,si1000,50000,19448,15000,5728,,
