     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,        40,         0,   0.015,pymatching,8db86b91bd047d20944a7d06bbfb9c4d12722599436e4a98d87667767e2254dd,"{""d"":7,""p"":0.006}",
      1297,        42,         0,   0.012,pymatching,8b3ead384ee49223bb942f0aa516dbcd4e82c8d119bd72956c14b503d27f9489,"{""d"":7,""p"":0.007}",
     54272,        63,         0,   0.037,pymatching,8aa360e870d1eb00ad6e4b51b840f954bf020a215cf27dae749285dcd3cf81df,"{""d"":5,""p"":0.002}",
     10240,         1,         0,   0.021,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      7168,        12,         0,   0.022,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      5120,        26,         0,   0.022,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      2048,        83,         0,   0.018,pymatching,8b3ead384ee49223bb942f0aa516dbcd4e82c8d119bd72956c14b503d27f9489,"{""d"":7,""p"":0.007}",
      3072,        67,         0,   0.021,pymatching,8db86b91bd047d20944a7d06bbfb9c4d12722599436e4a98d87667767e2254dd,"{""d"":7,""p"":0.006}",
      4096,        46,         0,   0.023,pymatching,a9bd790b3ad7e5ab088ea7d60158a72fc0077425eb63be317054c6e6d8e690ec,"{""d"":7,""p"":0.005}",
     13312,         1,         0,   0.028,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      9216,        19,         0,   0.028,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
     46127,        46,         0,   0.032,pymatching,8aa360e870d1eb00ad6e4b51b840f954bf020a215cf27dae749285dcd3cf81df,"{""d"":5,""p"":0.002}",
      7168,        28,         0,   0.031,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      3072,        94,         0,   0.026,pymatching,8b3ead384ee49223bb942f0aa516dbcd4e82c8d119bd72956c14b503d27f9489,"{""d"":7,""p"":0.007}",
      1297,        77,         0,   0.014,pymatching,9123b775fb359e812f6cf20ee3b62f5ed0865e89571a34679d8d5cff350f9dfd,"{""d"":7,""p"":0.008}",
      4096,        90,         0,   0.029,pymatching,8db86b91bd047d20944a7d06bbfb9c4d12722599436e4a98d87667767e2254dd,"{""d"":7,""p"":0.006}",
      5120,        62,         0,   0.028,pymatching,a9bd790b3ad7e5ab088ea7d60158a72fc0077425eb63be317054c6e6d8e690ec,"{""d"":7,""p"":0.005}",
      2048,       111,         0,   0.021,pymatching,9123b775fb359e812f6cf20ee3b62f5ed0865e89571a34679d8d5cff350f9dfd,"{""d"":7,""p"":0.008}",
      3072,        95,         0,   0.027,pymatching,8b3ead384ee49223bb942f0aa516dbcd4e82c8d119bd72956c14b503d27f9489,"{""d"":7,""p"":0.007}",
     19456,         5,         0,   0.040,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     13312,        20,         0,   0.041,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      4096,        81,         0,   0.029,pymatching,8db86b91bd047d20944a7d06bbfb9c4d12722599436e4a98d87667767e2254dd,"{""d"":7,""p"":0.006}",
      1297,       143,         0,   0.019,pymatching,848630e5ba565f9ddef73c2b8f1459736ece4eab31e77c24498a1da8d28ca595,"{""d"":7,""p"":0.01}",
      9216,        31,         0,   0.039,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      7168,        76,         0,   0.040,pymatching,a9bd790b3ad7e5ab088ea7d60158a72fc0077425eb63be317054c6e6d8e690ec,"{""d"":7,""p"":0.005}",
      2048,       105,         0,   0.021,pymatching,9123b775fb359e812f6cf20ee3b62f5ed0865e89571a34679d8d5cff350f9dfd,"{""d"":7,""p"":0.008}",
      1024,        44,         0,   0.010,pymatching,9123b775fb359e812f6cf20ee3b62f5ed0865e89571a34679d8d5cff350f9dfd,"{""d"":7,""p"":0.008}",
      2048,       219,         0,   0.028,pymatching,848630e5ba565f9ddef73c2b8f1459736ece4eab31e77c24498a1da8d28ca595,"{""d"":7,""p"":0.01}",
      5393,         2,         0,   0.011,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      3345,         5,         0,   0.011,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
     26624,         6,         0,   0.055,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
      7168,        64,         0,   0.041,pymatching,a9bd790b3ad7e5ab088ea7d60158a72fc0077425eb63be317054c6e6d8e690ec,"{""d"":7,""p"":0.005}",
     17408,        22,         0,   0.054,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
      7168,         3,         0,   0.015,pymatching,5de4778ed950ca4e70297f31ebb086fe3822389ed097823163a6f003ed4687d8,"{""d"":7,""p"":0.002}",
     13312,        51,         0,   0.056,pymatching,6aa0a7d6b1414f8529d6ac6663b06ae76b6de5fd8bb78895242e46a98f8cc77c,"{""d"":7,""p"":0.004}",
      5120,        10,         0,   0.016,pymatching,c92b1dc13b1e8072cfc5479c2b3a96b2c745d70ce4fff19b9b2c36e889782f73,"{""d"":7,""p"":0.003}",
