stage,step,epoch,shots_seen,loss,val_loss,val_error,seconds
pretrain,1000,,512000,0.5436282157897949,0.49360927320409703,0.3058888888888889,62.1
pretrain,2000,,1024000,0.4277481436729431,0.39598985762066313,0.22775925925925927,121.9
pretrain,3000,,1536000,0.32340550422668457,0.33130808892073454,0.16482407407407407,180.0
pretrain,4000,,2048000,0.28601861000061035,0.3135331959194607,0.15321296296296297,238.4
pretrain,5000,,2560000,0.282770574092865,0.30258923885557387,0.14794444444444443,300.0
pretrain,6000,,3072000,0.2779031991958618,0.2978584312774517,0.14497222222222222,362.9
pretrain,7000,,3584000,0.25690582394599915,0.2980875080426534,0.14305555555555555,423.3
pretrain,8000,,4096000,0.2586500346660614,0.29191862719147293,0.14125,483.5
pretrain,9000,,4608000,0.2574974298477173,0.29177808053405196,0.14083333333333334,542.2
pretrain,10000,,5120000,0.23861734569072723,0.2901522767852854,0.13907407407407407,598.4
pretrain,11000,,5632000,0.25039470195770264,0.290935668764291,0.1399074074074074,657.6
pretrain,12000,,6144000,0.24976171553134918,0.28833503895335727,0.13672222222222222,718.3
pretrain,13000,,6656000,0.25729259848594666,0.2872112749152713,0.13702777777777778,780.7
pretrain,14000,,7168000,0.2571425139904022,0.2881374408757245,0.1355,843.6
pretrain,15000,,7680000,0.24048331379890442,0.2859142398436864,0.1361574074074074,903.9
pretrain,16000,,8192000,0.23618823289871216,0.2805291853127656,0.13361111111111112,964.3
pretrain,17000,,8704000,0.22865109145641327,0.28010303306138074,0.1332685185185185,1023.2
pretrain,18000,,9216000,0.23907950520515442,0.2828293729181643,0.1340462962962963,1085.2
pretrain,19000,,9728000,0.24731777608394623,0.2812899625963635,0.13307407407407407,1148.3
pretrain,20000,,10240000,0.22948849201202393,0.2786304728852378,0.1327037037037037,1207.1
pretrain,21000,,10752000,0.22707775235176086,0.27920295075133994,0.13192592592592592,1266.7
pretrain,22000,,11264000,0.22876021265983582,0.2779336454250194,0.1317222222222222,1330.9
pretrain,23000,,11776000,0.23236924409866333,0.2781944794743149,0.13148148148148148,1390.9
pretrain,24000,,12288000,0.2267705649137497,0.27823614316074935,0.13173148148148148,1450.7
pretrain,25000,,12800000,0.23643389344215393,0.2769371277579555,0.13157407407407407,1509.5
pretrain,26000,,13312000,0.22252053022384644,0.2770532920360565,0.13112037037037036,1556.9
pretrain,27000,,13824000,0.23288005590438843,0.2769142314592997,0.13119444444444445,1606.4
pretrain,28000,,14336000,0.2297048270702362,0.27716582231168396,0.13098148148148148,1654.6
pretrain,29000,,14848000,0.22720089554786682,0.27710932495858936,0.1312222222222222,1701.6
pretrain,30000,,15360000,0.2310473620891571,0.27709109393755593,0.13115740740740742,1751.7
finetune,0,0,,,0.27709109393755593,0.13115740740740742,0.0
finetune,1944,1,995328,0.27215710282325745,0.2689550480224468,0.12915740740740742,80.6
finetune,3888,2,1990656,0.2682255208492279,0.26731509002932796,0.128,159.5
finetune,5832,3,2985984,0.26585501432418823,0.26669373606752467,0.12752777777777777,238.4
finetune,7776,4,3981312,0.26436302065849304,0.2666247493161096,0.12756481481481483,320.4
