key,distance,patch,basis,rounds,method,prior,shots,errors,ties,seconds
d5_at_q6_5/X/r250,5,q6_5,X,250,mwpm_gap,si1000,50000,24055,0,27.88
d5_at_q6_5/X/r250,5,q6_5,X,250,mwpm_gap,rl,50000,23975,0,28.92
d5_at_q6_9/Z/r250,5,q6_9,Z,250,mwpm_gap,si1000,50000,24345,471,27.68
d5_at_q6_9/Z/r250,5,q6_9,Z,250,mwpm_gap,rl,50000,23920,0,27.17
d5_at_q8_7/Z/r250,5,q8_7,Z,250,mwpm_gap,si1000,50000,24143,374,27.04
d5_at_q8_7/Z/r250,5,q8_7,Z,250,mwpm_gap,rl,50000,23994,0,27.38
d5_at_q8_7/X/r250,5,q8_7,X,250,mwpm_gap,si1000,50000,24624,0,33.02
d5_at_q8_7/X/r250,5,q8_7,X,250,mwpm_gap,rl,50000,24500,0,34.02
d5_at_q6_5/Z/r230,5,q6_5,Z,230,mwpm_gap,si1000,50000,22562,387,21.51
d5_at_q6_5/Z/r230,5,q6_5,Z,230,mwpm_gap,rl,50000,22352,0,23.18
d5_at_q6_9/X/r230,5,q6_9,X,230,mwpm_gap,si1000,50000,24056,0,23.92
d5_at_q6_9/X/r230,5,q6_9,X,230,mwpm_gap,rl,50000,24066,0,24.11
d5_at_q6_5/X/r230,5,q6_5,X,230,mwpm_gap,si1000,50000,24464,0,26.16
d5_at_q6_5/X/r230,5,q6_5,X,230,mwpm_gap,rl,50000,24308,0,27.51
d5_at_q6_9/Z/r230,5,q6_9,Z,230,mwpm_gap,si1000,50000,24056,466,26.03
d5_at_q6_9/Z/r230,5,q6_9,Z,230,mwpm_gap,rl,50000,24108,0,24.03
d7_at_q6_7/X/r110,7,q6_7,X,110,mwpm_gap,si1000,50000,15704,37,26.02
d7_at_q6_7/X/r110,7,q6_7,X,110,mwpm_gap,rl,50000,15286,0,24.76
d5_at_q8_7/Z/r230,5,q8_7,Z,230,mwpm_gap,si1000,50000,23920,436,26.4
d5_at_q8_7/Z/r230,5,q8_7,Z,230,mwpm_gap,rl,50000,23754,0,24.92
d5_at_q8_7/X/r230,5,q8_7,X,230,mwpm_gap,si1000,50000,24483,0,30.32
d5_at_q8_7/X/r230,5,q8_7,X,230,mwpm_gap,rl,50000,24278,0,29.65
d7_at_q6_7/Z/r110,7,q6_7,Z,110,mwpm_gap,si1000,50000,14646,62,25.76
d7_at_q6_7/Z/r110,7,q6_7,Z,110,mwpm_gap,rl,50000,14747,0,25.03
d5_at_q4_7/Z/r210,5,q4_7,Z,210,mwpm_gap,si1000,50000,21828,316,17.29
d5_at_q4_7/Z/r210,5,q4_7,Z,210,mwpm_gap,rl,50000,21815,0,16.98
d5_at_q4_7/X/r210,5,q4_7,X,210,mwpm_gap,si1000,50000,23016,0,19.31
d5_at_q4_7/X/r210,5,q4_7,X,210,mwpm_gap,rl,50000,22926,0,19.48
d5_at_q6_5/X/r210,5,q6_5,X,210,mwpm_gap,si1000,50000,23448,0,20.38
d5_at_q6_5/X/r210,5,q6_5,X,210,mwpm_gap,rl,50000,23236,0,21.04
d5_at_q6_5/Z/r210,5,q6_5,Z,210,mwpm_gap,si1000,50000,22823,396,18.91
d5_at_q6_5/Z/r210,5,q6_5,Z,210,mwpm_gap,rl,50000,22973,0,19.46
d5_at_q6_9/X/r210,5,q6_9,X,210,mwpm_gap,si1000,50000,23619,0,19.59
d5_at_q6_9/X/r210,5,q6_9,X,210,mwpm_gap,rl,50000,23636,0,19.38
d5_at_q6_9/Z/r210,5,q6_9,Z,210,mwpm_gap,si1000,50000,23328,370,20.47
d5_at_q6_9/Z/r210,5,q6_9,Z,210,mwpm_gap,rl,50000,23248,0,20.28
d5_at_q8_7/X/r210,5,q8_7,X,210,mwpm_gap,si1000,50000,23939,0,23.64
d5_at_q8_7/X/r210,5,q8_7,X,210,mwpm_gap,rl,50000,23504,0,24.33
d5_at_q4_7/Z/r190,5,q4_7,Z,190,mwpm_gap,si1000,50000,21963,283,15.91
d5_at_q4_7/Z/r190,5,q4_7,Z,190,mwpm_gap,rl,50000,21628,0,15.67
d5_at_q4_7/X/r190,5,q4_7,X,190,mwpm_gap,si1000,50000,23138,0,17.4
d5_at_q4_7/X/r190,5,q4_7,X,190,mwpm_gap,rl,50000,22958,0,17.4
